Er moet meer geld komen voor Defensie;Helemaal mee eens;2
Nederland moet uit de EU stappen;Niet mee eens;5
Wietteelt moet legaal worden;Helemaal niet mee eens;1
Er mogen geen sociale huurwoningen meer worden verkocht;Niet mee eens;1
De kerncentrale in Borssele moet open blijven;Niet mee eens;3
Rechters moeten weer vaker gevangenisstraf opleggen in plaats van taakstraffen;Mee eens;3
Sociale dienstplicht voor jongeren;Helemaal mee eens;2
In plaats van een lening, moet de studiefinanciering weer een gift worden;Helemaal mee eens;2
Nederlandse burgers moeten een referendum kunnen aanvragen om besluiten van het Parlement terug te kunnen draaien;Niet mee eens;5
Grote multinationale bedrijven betalen in Nederland te weinig belasting;Mee eens;3
Op de NPO moet worden bezuinigd;Niet mee eens;4
ZZP'ers moeten worden verplicht om een arbeidsongeschiktheidsverzekering af te sluiten;Mee eens;2
Om de files te verminderen moet de overheid investeren in nieuwe wegen, in plaats van te investeren in openbaar vervoer;Niet mee eens;3
Er moet strengere klimaatwetgeving komen, ook al gaat dit ten koste van economische groei;Mee eens;4
De AOW-leeftijd mag niet verder worden verhoogd dan de huidige 67 jaar;Niet mee eens;4
Het huidige systeem van meerdere zorgverzekeraars moet vervangen worden door een zorgfonds van de overheid;Niet mee eens;3
Het eigen risico in de zorg moet worden afgeschaft, ook al gaan de premies daardoor omhoog;Niet mee eens;3
Het moet strafbaar worden om zonder verblijfsvergunning in Nederland te zijn;Niet mee eens;5
In plaats van een vast bedrag per auto, moeten automobilisten per gereden kilometer belasting gaan betalen;Mee eens;4
Op ontwikkelingssamenwerking moet worden bezuinigd;Helemaal niet mee eens;1
Ouderen die vinden dat hun leven voltooid is, morgen met professionele hulp een einde aan hun leven maken;Helemaal niet mee eens;4
Nederland moet minder vluchtelingen opvangen;Niet mee eens;5
Bepaalde sociale groepen waarvan de politie denkt dat ze vaker crimineel zijn, moeten strenger gecontroleerd worden;Mee eens;5
Zwarte piet moet roetveegpiet worden;Geen mening;5
Vanaf 2025 mogen in Nederland alleen nog maar elektrische auto's verkocht worden;Mee eens;3
Nederlanders die naar Syrie zijn gegaan om te vechten mogen niet terugkeren naar ons land;Niet mee eens;5
Alle volwassenen moeten automatisch orgaandonor zijn, tenzij zij expliciet aangeven dat niet te willen;Helemaal niet mee eens;2
De privacy van burgers mag worden beperkt om terrorisme te bestrijden;Neutraal;3
Het belastingtarief voor de hoogste inkomens moet omhoog;Niet mee eens;1
Het moet voor bedrijven makkelijker worden om werknemers te ontslaan;Niet mee eens;4
